Main Type,Sub Type,Components
Market Infrastructure,Registries & Transfer Agents,On-chain share registries; identity-linked balances; role‑based transfers; registrar approvals; cap-table integrity checks
Market Infrastructure,Oracles & Pricing,TWAP/VWAP; reference rates; NAV; appraisal feeds; circuit breakers; fallback tiers with quorum
Market Infrastructure,Custody & Safekeeping,Cold/warm/hot tiers; MPC/TSS; segregation of assets; reconciliations; proof of reserves; insurance integration
Market Infrastructure,Tax & Accounting,Double-entry ledgers; lot tracking; cost basis; withholding; 1099/1042-S/CRS/FATCA exports; audit evidence
Market Infrastructure,Legal Entities & SPVs,Jurisdiction selection; SPV formation; trustee models; prospectus/PPM storage; director approvals; filings APIs
Compliance & Identity,KYC/AML/Screening,Document checks; PEP/sanctions; risk scoring; liveness; ongoing monitoring; travel rule/IVMS101
Compliance & Identity,Accreditation & Suitability,Accredited investor proofs; jurisdiction eligibility; wealth/income checks; product suitability surveys; attestations
Compliance & Identity,Identity Standards,DIDs/VCs; OAuth2/OIDC; mDL/eID adapters; privacy-preserving proofs (ZKPs); selective disclosure
Compliance & Identity,Policy Engines,OPA/Kyverno policies; jurisdiction matrices; product risk tiers; transaction limits; exception workflows
Liquidity & Distribution,Market Venues,ATS/MTF integrations; DEX/AMM/PMM adapters; RFQ; auction mechanisms; batch auctions; circuit-breaker rules
Liquidity & Distribution,Liquidity Programs,Market-making incentives; staking/locking; fee rebates; vesting for LPs; inventory loans; treasury counterparties
Liquidity & Distribution,Bridging & Interop,Cross-chain bridges; light clients; CCIP/XCM/IBC; custodial bridges; message/asset verification; rate limits
Digital Wallet,Custodial,KYC account; omnibus/segregated ledgers; withdrawal policies; support SLAs; compliance monitoring; chargeback-like flows
Digital Wallet,Non‑Custodial,Seed/MPC/TSS; passkeys; device encryption; account abstraction; social recovery; multi‑factor approvals
Digital Wallet,Hybrid / Co‑Custody,Sharded keys; shared controls; enterprise guardian; programmable policies; emergency freeze; recovery quorum
Digital Wallet,Key Management Options,Seed phrase; passkeys (WebAuthn); hardware wallets; secure enclave; MPC/TSS with quorum; rotation policies
Digital Wallet,Account Abstraction (AA),Smart accounts; session keys; sponsored gas; batched ops; spending limits; guardians/recovery
Digital Wallet,Compliance-Aware Wallet,Travel rule metadata; screening at send; jurisdiction rules; tx notes; anomaly alerts; consent/cert capture
Digital Wallet,Fiat On/Off Ramps,Bank transfers; cards; instant rails; stablecoin ramps; FX conversion; compliance checks
Digital Wallet,Payments & Commerce,Invoices; recurring payments; subscriptions; POS; QR; invoicing standards (ISO20022); refunds/disputes
Digital Wallet,Payouts & Payroll,Mass payouts; pay cycles; withholding/tax; payslips; stablecoin rails; compliance exports
Digital Wallet,Treasury & Cash Mgmt,Multi‑wallet policies; term deposits; MMFs/T‑bill tokens; concentration limits; reporting; four‑eyes approvals
Digital Wallet,DeFi Access Controls,Allow/Deny lists; protocol risk tiers; transaction simulation; spend caps; session approvals; transaction policy logs
Digital Wallet,User Experience & Safety,Human‑readable addresses; transaction previews; risk labels; phishing protection; notification center; support flows
Digital Wallet,Recovery & Continuity,Social recovery; hardware backups; inheritance; dead‑man switch; business continuity kits; emergency contacts
Risk & Controls,Smart Contract Risk,Formal verification; property tests; audit; bug bounty; upgrade timelocks; pause/guardian; on‑chain simulations
Risk & Controls,Market & Liquidity Risk,Price limits; circuit breakers; min liquidity thresholds; inventory risk; slippage guards; stress testing
Risk & Controls,Operational & Custody Risk,Dual control; reconciliations; key ceremonies; access reviews; disaster recovery drills; insurance coverage
Risk & Controls,Data & Privacy Risk,Minimization; encryption; tokenization of PII; retention policies; DLP; secure analytics workspaces
Data & Analytics,NAV/Valuation & Pricing,NAV calc engines; oracle aggregation; fair‑value policies; market data adapters; audit trails
Data & Analytics,Reporting & Disclosures,Investor statements; KIDs/PRIIPs; factsheets; ESG; real‑time dashboards; export APIs
Data & Analytics,Indexing & Subgraphs,Event indexing; subgraphs; ETL; query APIs; analytics warehouse; lineage and quality checks
Token Economics,Fractionalization & Access,Minimum ticket size reduction; nested funds; tranches; secondary liquidity; eligibility gates
Token Economics,Revenue & Fee Model,Mint/redeem fees; management/performance fees; spread; market‑making incentives; rebates; buyback policies
Token Economics,Staking / Yield,Rehypothecation rules; collateralization; over‑collateral limits; yield sources; risk disclosures; auto‑compounding
Token Economics,Governance & Voting,On‑chain voting; delegate registry; quorum rules; proposal lifecycle; disclosures; audit trail
Developer & Ops,SDKs & APIs,Wallet SDKs; issuance/trading APIs; compliance hooks; event webhooks; sandbox & testnets; typed clients
Developer & Ops,DevSecOps & CI/CD,SBOM; sig‑verify; policy lint; secret scanning; test matrices; promotion gates; evidence archiving
Developer & Ops,Observability,Logs/metrics/traces; SLO dashboards; business KPIs; anomaly detection; incident runbooks; status page
Standards Roadmap,Short‑Term,ERC‑20/721; ISO20022 mapping; KYC/AML basic; custody adapters; DEX/ATS connectivity
Standards Roadmap,Mid‑Term,ERC‑1400/3643; account abstraction; ZKP credentials; DvP/PvP atomic settlement; formal corporate actions
Standards Roadmap,Long‑Term,CBDC connectors; full securities depository linkage; cross‑border compliance automation; on‑chain RTGS hooks
Security Architecture,Identity & Access Management,Zero-trust network access; adaptive authentication; privileged identity management; identity federation; attribute-based access control; just-in-time access
Security Architecture,Threat Intelligence & Hunting,Threat intelligence feeds; indicators of compromise (IOCs); threat modeling; red team exercises; cyber threat hunting; attack surface management
Security Architecture,Security Operations Center (SOC),24/7 monitoring; incident response coordination; forensic analysis; threat containment; security orchestration; automated response
Security Architecture,Cryptographic Services,Key generation and storage; digital signatures; cryptographic protocols; certificate management; encryption algorithms; post-quantum cryptography
Security Architecture,Vulnerability Management,Continuous scanning; risk assessment; patch prioritization; vulnerability remediation tracking; third-party vulnerability monitoring; penetration testing
Protection Framework,Data Loss Prevention (DLP),Content discovery; policy enforcement; endpoint protection; network monitoring; cloud data protection; incident response
Protection Framework,Business Resilience,Disaster recovery plans; business impact analysis; recovery time objectives; recovery point objectives; crisis communication; alternate site operations
Protection Framework,Regulatory Compliance,Regulatory gap analysis; compliance monitoring; audit preparation; regulatory reporting; compliance training; policy management
